"task"	"profile"	"context"	"memory_uid"	"fixture_id"	"locator"	"audiences"	"verified"	"impact_en"	"impact_ko"
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"adba0a3f-38b0-5869-bcaf-7c940cf3c95d"	""	"public-guidance/01"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"250cba93-dc05-52eb-9e0d-a4a191ed50de"	""	"public-guidance/02"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"8cc545c2-9808-5401-b845-ac3a2f0a72e3"	""	"public-guidance/03"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"39b5e1f6-782d-5da1-86e0-13229940671a"	""	"public-guidance/04"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"b696bf85-364e-532c-a6ae-5d049b311368"	""	"public-guidance/05"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"bea24cd0-a2c6-5445-aa78-805175f4518a"	""	"public-guidance/06"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"aa464413-c292-58ea-8785-1da5620c3fdb"	""	"public-guidance/07"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"dcf1b441-c8bd-541d-a26b-839b19ef33f8"	""	"public-guidance/08"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"6c3b4e2d-994e-5d0f-9628-0ca35366dc13"	""	"public-guidance/09"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"c81aebd6-81ab-5ab5-8e5a-9bacdb7228a0"	""	"public-guidance/10"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"1b3925ec-6490-5d7e-9492-2dd7e9093da2"	""	"public-guidance/11"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"777f7b41-569d-5496-b079-3067dfed49d9"	""	"public-guidance/12"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"c99b4cb8-3d97-5ed1-85c5-786ab54acd21"	""	"public-guidance/13"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"2955e504-e422-562a-ba1d-9c91e673b119"	""	"public-guidance/14"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"1b4f6c8d-818b-50db-9ae2-ae92bbd94264"	""	"public-guidance/15"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"1076a390-d7d1-5d72-8271-35a3d7770942"	""	"public-guidance/16"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"03681efd-c272-54d0-bfb1-d2ee68647e1f"	""	"public-guidance/17"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"b9835a1e-de2d-56da-9f7d-7f9ebbf07908"	""	"public-guidance/18"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"fcb07dc8-574b-5274-949c-392ca6ccd011"	""	"public-guidance/19"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"88548b91-8546-5321-8fa1-1ddb3571b97a"	""	"public-guidance/20"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"67b0db35-5f3b-54dc-968d-9679441cf499"	""	"public-guidance/21"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"d5722825-ebd9-56ce-979f-992db24e6709"	""	"public-guidance/22"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"40110fb1-4797-52f9-8718-caaf668cac9d"	""	"public-guidance/23"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"62b94e08-bea9-5e9b-bd55-7aba3c8d0e45"	""	"public-guidance/24"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance"	"1cf83eaa-ceff-5436-a108-c5e4dede0f9d"	""	"public-guidance/25"	"[]"	"null"	""	""
