fixture_id	Memory Location	Memory Purpose	Purpose Code
T1-D-001	description/task-1	Procedural Policy	PP
T1-D-002	description/task-1-task	Procedural Policy	PP
T1-U-001	construction-updates/building-access/01	Knowledge Base	KB
T1-U-003	construction-updates/building-access/03-hours	Knowledge Base	KB
T1-U-068	construction-updates/building-access/03-ramp	Knowledge Base	KB
T1-U-069	construction-updates/building-access/03-temp-route	Knowledge Base	KB
T1-U-004	construction-updates/building-access/04	Procedural Policy	PP
T1-U-006	construction-updates/building-access/06-staff-entrance	Procedural Policy	PP
T1-U-048	construction-updates/building-access/08-explain-access	Self Model	SM
T1-U-049	construction-updates/building-access/09	User Model	UM
T1-U-050	construction-updates/building-access/10	World Model	WM
T1-U-061	construction-updates/building-access/11-proactive-warning	Procedural Policy	PP
T1-U-062	construction-updates/building-access/om-tour-leader-route-expectation	Other Model	OM
T1-U-008	construction-updates/event-relocations/01-viewing	Knowledge Base	KB
T1-U-009	construction-updates/event-relocations/02-reservations	Procedural Policy	PP
T1-U-076	construction-updates/event-relocations/02-east-auditorium	Procedural Policy	PP
T1-U-077	construction-updates/event-relocations/02-engineering-room	Procedural Policy	PP
T1-U-010	construction-updates/event-relocations/03	Knowledge Base	KB
T1-U-051	construction-updates/event-relocations/04-compare-venues	Self Model	SM
T1-U-078	construction-updates/event-relocations/04-no-booking	Self Model	SM
T1-U-052	construction-updates/event-relocations/05-location-questions	User Model	UM
T1-U-053	construction-updates/event-relocations/06	Knowledge Base	KB
T1-U-063	construction-updates/event-relocations/om-event-operators	Other Model	OM
T1-U-011	construction-updates/temporary-parking/01	Knowledge Base	KB
T1-U-012	construction-updates/temporary-parking/02-locked-door	Knowledge Base	KB
T1-U-013	construction-updates/temporary-parking/03	Procedural Policy	PP
T1-U-014	construction-updates/temporary-parking/04	Procedural Policy	PP
T1-U-015	construction-updates/temporary-parking/05	Knowledge Base	KB
T1-U-016	construction-updates/temporary-parking/06	Knowledge Base	KB
T1-U-082	construction-updates/temporary-parking/07-lost-property	Knowledge Base	KB
T1-U-018	construction-updates/temporary-parking/08-a-lot-closed	Knowledge Base	KB
T1-U-083	construction-updates/temporary-parking/08-c-lot-open	Knowledge Base	KB
T1-U-084	construction-updates/temporary-parking/08-a-lot-reopen	Knowledge Base	KB
T1-U-019	construction-updates/temporary-parking/09	Knowledge Base	KB
T1-U-054	construction-updates/temporary-parking/10-explain-parking	Self Model	SM
T1-U-085	construction-updates/temporary-parking/10-no-live-spaces	Self Model	SM
