pair_id	left_fixture_ids	right_fixture_ids	relationship_band
T2-001	T2-L-001	T2-R-001	Conflict
T2-002	T2-L-002	T2-R-002	Near Duplicate
T2-003	T2-L-003	T2-R-003	Near Duplicate
T2-004	T2-L-004	T2-R-004	Near Duplicate
T2-005	T2-L-005	T2-R-005	Near Duplicate
T2-006	T2-L-006	T2-R-006	Near Duplicate
T2-007	T2-L-007	T2-R-007	Near Duplicate
T2-008	T2-L-008	T2-R-008	Near Duplicate
T2-009	T2-L-009;T2-L-085	T2-R-009	Conflict
T2-010	T2-L-010	T2-R-010	Near Duplicate
T2-011	T2-L-011	T2-R-011	Same-Principle Variant
T2-012	T2-L-012	T2-R-012	Context-Dependent Variant
T2-013	T2-L-013	T2-R-013	Context-Dependent Variant
T2-014	T2-L-014	T2-R-014	Conflict
T2-015	T2-L-015	T2-R-015	Same-Principle Variant
T2-016	T2-L-016	T2-R-016	Same-Principle Variant
T2-017	T2-L-017	T2-R-017	Same-Principle Variant
T2-018	T2-L-018;T2-L-083;T2-L-084	T2-R-018;T2-R-083	Conflict
T2-019	T2-L-019	T2-R-019	Conflict
T2-020	T2-L-020	T2-R-020	Same-Principle Variant
T2-021	T2-L-021	T2-R-021	Same-Principle Variant
T2-022	T2-L-022	T2-R-022	Conflict
T2-023	T2-L-023	T2-R-023	Conflict
T2-024	T2-L-024	T2-R-024	Near Duplicate
T2-025	T2-L-025	T2-R-025	Compatible Complement
T2-026	T2-L-026	T2-R-026	Conflict
T2-027	T2-L-027	T2-R-027	Same-Principle Variant
T2-028	T2-L-028	T2-R-028	Near Duplicate
T2-029	T2-L-029	T2-R-029	Near Duplicate
T2-030	T2-L-030	T2-R-030	Near Duplicate
T2-031	T2-L-031	T2-R-031	Context-Dependent Variant
T2-032	T2-L-032	T2-R-032	Near Duplicate
T2-033	T2-L-033	T2-R-033	Near Duplicate
T2-034	T2-L-034	T2-R-034	Context-Dependent Variant
T2-035	T2-L-035	T2-R-035	Near Duplicate
T2-036	T2-L-036;T2-L-086	T2-R-036;T2-R-084	Near Duplicate
T2-037	T2-L-037	T2-R-037	Near Duplicate
T2-038	T2-L-038	T2-R-038	Near Duplicate
T2-039	T2-L-039;T2-L-087;T2-L-088	T2-R-039;T2-R-085;T2-R-086	Near Duplicate
T2-040	T2-L-040;T2-L-091;T2-L-092	T2-R-040;T2-R-089;T2-R-090	Near Duplicate
T2-041	T2-L-041	T2-R-041	Near Duplicate
T2-042	T2-L-042	T2-R-042	Near Duplicate
T2-043	T2-L-043	T2-R-043	Near Duplicate
T2-044	T2-L-044	T2-R-044	Near Duplicate
T2-045	T2-L-045	T2-R-045	Near Duplicate
T2-046	T2-L-046	T2-R-046	Near Duplicate
T2-047	T2-L-047	T2-R-047	Compatible Complement
T2-048	T2-L-048	T2-R-048	Context-Dependent Variant
T2-049	T2-L-049	T2-R-049	Near Duplicate
T2-050	T2-L-050	T2-R-050	Same-Principle Variant
T2-051	T2-L-051	T2-R-051	Near Duplicate
T2-052	T2-L-052	T2-R-052	Same-Principle Variant
T2-053	T2-L-053	T2-R-053	Near Duplicate
T2-054	T2-L-054	T2-R-054	Context-Dependent Variant
T2-055	T2-L-055	T2-R-055	Near Duplicate
T2-056	T2-L-056	T2-R-056	Near Duplicate
T2-057	T2-L-057	T2-R-057	Context-Dependent Variant
T2-058	T2-L-058	T2-R-058	Near Duplicate
T2-059	T2-L-059	T2-R-059	Near Duplicate
T2-060	T2-L-060	T2-R-060	Near Duplicate
T2-061	T2-L-061	T2-R-061	Near Duplicate
T2-062	T2-L-062	T2-R-062	Near Duplicate
T2-063	T2-L-063	T2-R-063	Same-Principle Variant
T2-064	T2-L-064	T2-R-064	Near Duplicate
T2-065	T2-L-065;T2-L-089;T2-L-090	T2-R-065;T2-R-087;T2-R-088	Near Duplicate
T2-066	T2-L-066	T2-R-066	Context-Dependent Variant
T2-067	T2-L-067	T2-R-067	Near Duplicate
T2-068	T2-L-068;T2-L-093;T2-L-094	T2-R-068;T2-R-091;T2-R-092	Near Duplicate
T2-069	T2-L-069	T2-R-069	Near Duplicate
T2-070	T2-L-070	T2-R-070	Context-Dependent Variant
T2-071	T2-L-071	T2-R-071	Near Duplicate
T2-072	T2-L-072	T2-R-072	Same-Principle Variant
T2-073	T2-L-073	T2-R-073	Context-Dependent Variant
T2-074	T2-L-074	T2-R-074	Context-Dependent Variant
T2-075	T2-L-075	T2-R-075	Near Duplicate
T2-076	T2-L-076	T2-R-076	Near Duplicate
T2-077	T2-L-077	T2-R-077	Near Duplicate
T2-078	T2-L-078	T2-R-078	Near Duplicate
T2-079	T2-L-079	T2-R-079	Context-Dependent Variant
T2-080	T2-L-080	T2-R-080	Context-Dependent Variant
T2-081	T2-L-081	T2-R-081	Near Duplicate
T2-082	T2-L-082	T2-R-082	Near Duplicate
T2-083	T2-L-095	T2-R-093	Context-Dependent Variant
T2-084	T2-L-096	T2-R-095	Context-Dependent Variant
T2-085	T2-L-097	T2-R-094;T2-R-096	Context-Dependent Variant
T2-086	T2-L-098	T2-R-097	Near Duplicate
T2-087	T2-L-099	T2-R-098	Same-Principle Variant
T2-088	T2-L-100	T2-R-117	Context-Dependent Variant
T2-089	T2-L-101	T2-R-099	Context-Dependent Variant
T2-090	T2-L-102	T2-R-100	Same-Principle Variant
T2-091	T2-L-103	T2-R-102	Same-Principle Variant
T2-092	T2-L-104	T2-R-103	Context-Dependent Variant
T2-093	T2-L-105	T2-R-101	Same-Principle Variant
T2-094	T2-L-106	T2-R-104	Context-Dependent Variant
T2-095	T2-L-107	T2-R-105	Near Duplicate
T2-096	T2-L-108	T2-R-106	Context-Dependent Variant
T2-097	T2-L-109	T2-R-107	Same-Principle Variant
T2-098	T2-L-110	T2-R-108	Near Duplicate
T2-099	T2-L-111	T2-R-109	Same-Principle Variant
T2-100	T2-L-112	T2-R-110	Context-Dependent Variant
T2-101	T2-L-113	T2-R-111	Near Duplicate
T2-102	T2-L-114	T2-R-112	Context-Dependent Variant
T2-103	T2-L-115	T2-R-114	Context-Dependent Variant
T2-104	T2-L-116	T2-R-115	Context-Dependent Variant
T2-105	T2-L-117	T2-R-113;T2-R-116	Context-Dependent Variant
T2-106	T2-L-118	T2-R-118	Context-Dependent Variant
T2-107	T2-L-119	T2-R-119	Context-Dependent Variant
T2-108	T2-L-120	T2-R-120	Same-Principle Variant
T2-109	T2-L-121	T2-R-121	Context-Dependent Variant
T2-110	T2-L-122	T2-R-124	Context-Dependent Variant
T2-111	T2-L-123	T2-R-122	Context-Dependent Variant
T2-112	T2-L-124	T2-R-125	Same-Principle Variant
T2-113	T2-L-125	T2-R-128	Near Duplicate
T2-114	T2-L-126	T2-R-127	Same-Principle Variant
T2-115	T2-L-127	T2-R-126	Near Duplicate
T2-116	T2-L-128	T2-R-129	Near Duplicate
T2-117	T2-L-129	T2-R-130	Same-Principle Variant
T2-118	T2-L-130	T2-R-131	Near Duplicate
T2-119	T2-L-131	T2-R-132	Near Duplicate
T2-120	T2-L-132	T2-R-133	Same-Principle Variant
T2-121	T2-L-133	T2-R-134	Near Duplicate
T2-122	T2-L-134	T2-R-136	Same-Principle Variant
T2-123	T2-L-135	T2-R-138	Same-Principle Variant
T2-124	T2-L-136	T2-R-137	Near Duplicate
T2-125	T2-L-137	T2-R-139	Near Duplicate
T2-126	T2-L-138	T2-R-140	Near Duplicate
T2-127	T2-L-139	T2-R-135	Context-Dependent Variant
T2-128	T2-L-140	T2-R-141	Near Duplicate
T2-129	T2-L-141	T2-R-143	Context-Dependent Variant
T2-130	T2-L-142	T2-R-142	Context-Dependent Variant
T2-131	T2-L-143	T2-R-144	Context-Dependent Variant
T2-132	T2-L-144	T2-R-145	Near Duplicate
T2-133	T2-L-145	T2-R-146	Context-Dependent Variant
T2-134	T2-L-146	T2-R-147	Near Duplicate
T2-135	T2-L-147	T2-R-123	Same-Principle Variant
T2-136	T2-L-148	T2-R-148	Context-Dependent Variant
T2-137	T2-L-149	T2-R-149	Near Duplicate
T2-138	T2-L-150	T2-R-150	Same-Principle Variant
