"task"	"profile"	"context"	"memory_uid"	"fixture_id"	"locator"	"audiences"	"verified"	"impact_en"	"impact_ko"
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/submission"	"fb5c2d93-1b70-58e3-96d2-a0a790b75439"	"T2-Q-001"	"submission/pdf-upload"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/submission"	"3f4b26bc-0c12-5733-a606-8d3bc618ac23"	"T2-Q-065"	"submission/pdf-searchability"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/submission"	"d82111a2-69c7-57db-894c-2f3259978c5c"	"T2-Q-002"	"submission/file-size"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/submission"	"508637d2-cf62-5a3e-97c9-cc4ff0eee6f5"	"T2-Q-004"	"submission/deadline"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/submission"	"52541b04-e647-5719-9b0e-1fa15c441938"	"T2-Q-005"	"submission/administrator-timestamp-check"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/submission"	"5725d78e-1d60-55c3-ac64-9664f3468c42"	"T2-Q-075"	"submission/requirements-may-change"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/format"	"ec0f5d7b-369d-55cc-a238-b776c6b0271f"	"T2-Q-006"	"format/body-page-limit"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/format"	"78acd8e3-6cc0-5fa0-a60d-d1f80e21e00a"	"T2-Q-007"	"format/reference-page-count"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/format"	"21dd4a7f-f397-5d2a-b675-a4800c262a27"	"T2-Q-072"	"format/figure-table-page-count"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/format"	"bff84712-882c-5a0d-a3e4-0e77912d9d3b"	"T2-Q-008"	"format/font-size"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/format"	"0dfe0e3c-999d-58da-93d3-796e3954ca2b"	"T2-Q-009"	"format/page-size"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/format"	"f7e050f7-a5ed-5bea-b5b1-5decfc51edd7"	"T2-Q-010"	"format/typeface"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/format"	"b641d18e-e6d4-5967-a01c-11182fafa8a8"	"T2-Q-011"	"format/margins"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/format"	"801a95cb-fe6a-53f7-9e1a-e12ced336f34"	"T2-Q-012"	"format/reviewer-figure-scan"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/summary"	"3072c57f-82ce-5070-8f92-6c64417f1e5a"	"T2-Q-013"	"summary/word-budget"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/summary"	"af2f6185-dca8-5b1c-848d-ae855c74c30b"	"T2-Q-014"	"summary/problem"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/summary"	"9f3a5727-b894-5b44-90e2-601df1e68239"	"T2-Q-015"	"summary/objective"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/summary"	"27de1024-0842-5ac4-8136-70c0b3f561e0"	"T2-Q-016"	"summary/approach"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/summary"	"97cd68fe-123a-50fb-af86-226754d96b26"	"T2-Q-017"	"summary/expected-outcome"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/summary"	"06518fc1-758b-5b13-964c-584fabbd3b60"	"T2-Q-018"	"summary/reviewer-fit-decision"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/background"	"027d5bb7-a725-540b-be99-3e7ebdb95fbd"	"T2-Q-019"	"background/word-budget"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/background"	"5b118518-2ac2-55ea-b88c-c2bea1c6ecb2"	"T2-Q-020"	"background/unresolved-problem"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/background"	"136e33dc-714e-595b-a546-ae6e767cd0e0"	"T2-Q-021"	"background/urgency"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/background"	"7d5027f4-7e3c-59e0-b5f9-10fbbaefafe2"	"T2-Q-022"	"background/related-evidence"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/background"	"1a2f2ce9-91cf-5810-b612-83e2425008db"	"T2-Q-023"	"background/research-gap"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/background"	"85edce8a-b03e-5f36-92fa-4ae09e08f056"	"T2-Q-024"	"background/nonspecialist-reading"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/objectives"	"ef3d227a-30c3-559f-8bd0-5dfc49dc5e69"	"T2-Q-003"	"objectives/word-budget"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/objectives"	"baae7762-a298-57da-8b56-dedca1e74b1f"	"T2-Q-025"	"objectives/primary-objective"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/objectives"	"fe75068c-5a22-5ccd-87c8-aa815ff146aa"	"T2-Q-026"	"objectives/author-question-scope"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/objectives"	"ec87bfc6-a068-587b-92ef-b328d27705be"	"T2-Q-073"	"objectives/author-advice-reconciliation"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/objectives"	"3c80ea67-5aca-5887-8945-24581a5fffbc"	"T2-Q-027"	"objectives/success-criterion"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/objectives"	"182188e7-ab1a-52d5-8fe0-2d4bec452758"	"T2-Q-028"	"objectives/panel-comparison"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/methods"	"6827e3df-800e-55ae-8b16-5b0a632d3c3c"	"T2-Q-029"	"methods/word-budget"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/methods"	"26f13e5a-cd0d-58f4-8300-2704f30bc97b"	"T2-Q-030"	"methods/question-data-link"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/methods"	"760089ac-77cb-50ca-bfee-e1dba69db400"	"T2-Q-031"	"methods/collection-tool"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/methods"	"99b229a2-5230-5d8d-8a66-ff5f92335c7e"	"T2-Q-033"	"methods/analysis-procedure"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/methods"	"cfe861d8-39e3-5e89-ba61-81d9c8e1735a"	"T2-Q-034"	"methods/sample-rationale"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/methods"	"52564f5a-1477-516d-a83a-25b361fb315c"	"T2-Q-035"	"methods/feasibility-criterion"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/methods"	"6234be3b-5be0-5c7c-91d9-aa488ac7ab1d"	"T2-Q-036"	"methods/execution-constraints"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/methods"	"2d710526-f3d5-54fe-b638-1076172c582d"	"T2-Q-037"	"methods/reviewer-answerability"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/outcomes"	"10dfd39a-ceec-5f80-a629-ba7838fa7a36"	"T2-Q-038"	"outcomes/word-budget"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/outcomes"	"62614c82-39bc-517f-896a-ec7c9bff0e0f"	"T2-Q-039"	"outcomes/decision-contribution"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/outcomes"	"e474b07f-9266-5632-889d-d238aeaf25eb"	"T2-Q-040"	"outcomes/reviewer-evidence-status"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/workplan-budget"	"3d75c3b9-5c01-5481-a197-d851845953ac"	"T2-Q-041"	"workplan-budget/timeline-word-budget"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/workplan-budget"	"aa699e56-6c33-5033-9f60-fa782622f4cc"	"T2-Q-032"	"workplan-budget/budget-word-budget"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/workplan-budget"	"42af8f14-805d-5902-bd80-367ac28b8426"	"T2-Q-042"	"workplan-budget/recruitment-milestone"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/workplan-budget"	"872d5f43-aca8-592f-809b-b7ecc39e53b7"	"T2-Q-066"	"workplan-budget/data-collection-milestone"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/workplan-budget"	"c7d88185-3862-5926-8b93-53f650ce9e05"	"T2-Q-067"	"workplan-budget/analysis-milestone"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/workplan-budget"	"edd014a9-08e9-5e47-a149-4eb2557c4bc2"	"T2-Q-043"	"workplan-budget/dependencies"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/workplan-budget"	"30e3cef8-0e20-59d5-8eb0-189cee62f6fb"	"T2-Q-044"	"workplan-budget/budget-appendix-limit"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/workplan-budget"	"a2b14436-7a23-5cbe-8b48-d1ec945fcbcc"	"T2-Q-045"	"workplan-budget/participant-compensation-row"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/workplan-budget"	"73f96454-bd6e-5574-8a92-b36458f97ae5"	"T2-Q-068"	"workplan-budget/travel-cost-row"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"proposal-submission-guidelines/workplan-budget"	"25d8b0d9-865f-59e1-8009-56abee290cd2"	"T2-Q-069"	"workplan-budget/equipment-cost-row"	"[]"	"null"	""	""
