"task"	"profile"	"context"	"memory_uid"	"fixture_id"	"locator"	"audiences"	"verified"	"impact_en"	"impact_ko"
"2"	"task-2-proposal-authority"	"advisor2/structure"	"e32f543b-1637-572a-ab96-319d74ee7e21"	"T2-R-001"	"structure/problem"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor2/structure"	"6bbb0f69-ca99-539a-a810-a0fb34fe9cc3"	"T2-R-070"	"structure/three-sentence-context"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor2/structure"	"48e887dc-7fc8-5a23-9999-890acb870251"	"T2-R-002"	"structure/research-question-position"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor2/structure"	"e34bce0c-7d07-5fe6-b03f-39faa801640b"	"T2-R-011"	"structure/interaction-step-visual"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor2/structure"	"68ad56f9-6ca2-587a-9182-fd98a79d3d5c"	"T2-R-071"	"structure/interaction-transition-visual"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor2/structure"	"eca301ff-9feb-502d-b955-055c48342542"	"T2-R-015"	"structure/masters-timeline-phases"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor2/structure"	"cbd977cd-1b78-5ca6-823a-7a5b4b92d77a"	"T2-R-072"	"structure/masters-timeline-deliverables"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor2/structure"	"9283aedb-6818-5c99-8fe0-502b488acb66"	"T2-R-017"	"structure/gap-contribution-link"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor2/structure"	"c5c04ab1-10e8-52a3-98a1-aa9cbede57c1"	"T2-R-018"	"structure/continuous-two-page-flow"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor2/structure"	"87203bcf-6724-543a-ad19-60a2becc4598"	"T2-R-083"	"structure/paragraph-transition-chain"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor2/structure"	"c9591180-6f3a-5909-8695-31704b9b6f01"	"T2-R-024"	"structure/preliminary-result-placement"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor2/structure"	"0ac685f9-e338-5549-bf91-32078cf36f15"	"T2-R-054"	"structure/reviewer-three-sentence-context"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor2/structure"	"5567fb3c-de90-5363-af1b-62fb5b8e0bb1"	"T2-R-080"	"structure/compressed-opening-generic-cost"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor2/emphasis"	"d59dc83b-ce6a-5ac7-ab64-e5436df1f945"	"T2-R-003"	"emphasis/contribution-count"	"[]"	"null"	""	""
