"task"	"profile"	"context"	"memory_uid"	"fixture_id"	"locator"	"audiences"	"verified"	"impact_en"	"impact_ko"
"3"	"task-3"	"local/guardrails/purpose-and-scope"	"c971c24d-2543-5874-91e3-b97aec8bc77a"	""	"purpose-and-scope/01"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/purpose-and-scope"	"3d3749df-7036-548b-b939-7b6b32c79af6"	""	"purpose-and-scope/02"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/purpose-and-scope"	"75944d44-d6e7-52fc-a68a-676b0df123ed"	""	"purpose-and-scope/03"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/purpose-and-scope"	"78bba4e2-c5d0-5df3-8f81-6641515e4875"	""	"purpose-and-scope/04"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/purpose-and-scope"	"e0133c8a-5382-50d2-9d9a-74e3ff700f69"	""	"purpose-and-scope/05"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/purpose-and-scope"	"58850532-c154-5e64-87cb-91c81d3e5ca5"	""	"purpose-and-scope/05-purpose"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/purpose-and-scope"	"05953013-6bb7-5f2c-8024-23ef357161fa"	""	"purpose-and-scope/05-items"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/purpose-and-scope"	"b5618dee-42df-583f-a839-e8e611ccdabd"	""	"purpose-and-scope/06"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/privacy-and-others"	"67035ffd-3709-592a-9d42-601fffb9ff79"	""	"privacy-and-others/01"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/privacy-and-others"	"47174c75-1951-5f0f-be2f-e79315d88b91"	""	"privacy-and-others/02"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/privacy-and-others"	"73411861-8d89-5bf4-9987-f7757e403089"	""	"privacy-and-others/03"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/privacy-and-others"	"4af0efc1-3442-580c-b2da-7725249adbbd"	""	"privacy-and-others/04"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/privacy-and-others"	"5cd7bde0-0d4f-5946-a551-65836f41cb3e"	""	"privacy-and-others/05"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/privacy-and-others"	"eafc4a2b-8e2a-5e58-9813-f1346bbdc2ad"	""	"privacy-and-others/06"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/evidence-and-uncertainty"	"aff10a17-19e9-5e2e-b082-4971c8ac5b2f"	""	"evidence-and-uncertainty/01"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/evidence-and-uncertainty"	"3f8f3387-8c2a-5059-8b4f-4b1478f5076a"	""	"evidence-and-uncertainty/02"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/evidence-and-uncertainty"	"aa806a1b-9eaa-5964-98a6-ed787d57887b"	""	"evidence-and-uncertainty/03"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/evidence-and-uncertainty"	"b59b39e5-f099-5111-9ce9-8eaef8472cc8"	""	"evidence-and-uncertainty/04"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/evidence-and-uncertainty"	"77a7fd0e-d11c-596f-ac36-ffe2a183b6ea"	""	"evidence-and-uncertainty/05"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/evidence-and-uncertainty"	"587c2393-0105-5905-813e-c188b5a976f4"	""	"evidence-and-uncertainty/06"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/approval-and-delivery"	"96442184-816a-58f1-a72d-40eb907688fe"	""	"approval-and-delivery/01"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/approval-and-delivery"	"33169da3-3a2a-5e33-8fe2-66dbe9c0b641"	""	"approval-and-delivery/02"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/approval-and-delivery"	"f449bbaa-c795-51b3-8f19-f6f26d819445"	""	"approval-and-delivery/03"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/approval-and-delivery"	"9b905e4c-8522-5138-bc4e-b4deb308d28d"	""	"approval-and-delivery/04"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/approval-and-delivery"	"ce35336a-9b15-5448-b664-d6e8a5306d32"	""	"approval-and-delivery/04-purpose"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/approval-and-delivery"	"14d28101-761a-5d2a-8f80-d89f526b8598"	""	"approval-and-delivery/04-items"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/approval-and-delivery"	"d7d7f1a5-f831-5d03-9137-ae485cebb67a"	""	"approval-and-delivery/05"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/approval-and-delivery"	"b0db9a0f-f96d-5766-b1fb-483e89d0b4a3"	""	"approval-and-delivery/06"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/approval-and-delivery"	"319e6774-f20f-571e-b92f-e6c71f345320"	""	"approval-and-delivery/06-forwarding"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/retention-and-revocation"	"13b65314-02d9-5f22-bfc0-fd08b861f8f0"	""	"retention-and-revocation/01"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/retention-and-revocation"	"9bf4b3d7-ab89-5a22-8caa-de9debc744e9"	""	"retention-and-revocation/02"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/retention-and-revocation"	"4004ad20-547d-5588-a4d5-2bceff66005f"	""	"retention-and-revocation/03"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/retention-and-revocation"	"38256d79-12a4-5f38-aca9-357056cab7ce"	""	"retention-and-revocation/04"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/retention-and-revocation"	"9db14c6f-298a-5b48-b7a6-d323cafbfd7f"	""	"retention-and-revocation/05"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/retention-and-revocation"	"044511b2-40d0-55cb-912c-49c4ec0874fc"	""	"retention-and-revocation/06"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/recipient-and-authority"	"f3fb4551-f2b4-5a94-96ee-866bb001c620"	""	"recipient-and-authority/01"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/recipient-and-authority"	"2c0ded0a-75d2-53d3-8eb7-4b8ac5823ba3"	""	"recipient-and-authority/02"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/recipient-and-authority"	"7bd3b376-95ae-58bb-b8c5-adb3431e31ed"	""	"recipient-and-authority/03"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/recipient-and-authority"	"fe9c1c24-9eb4-5e5d-a233-14ce425164ab"	""	"recipient-and-authority/04"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/recipient-and-authority"	"51df9ae8-3eeb-5466-99e2-fa43d6dd34f7"	""	"recipient-and-authority/05"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/recipient-and-authority"	"c2036232-1c1a-5a48-b465-8f1b503dffd8"	""	"recipient-and-authority/06"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/recipient-and-authority"	"8530cb36-8f66-5cb3-bcf6-fc4763daa2ef"	""	"recipient-and-authority/07"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/recipient-and-authority"	"bd834d39-cdba-5742-b76c-5ede06d26852"	""	"recipient-and-authority/08"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/minimization-and-redaction"	"98c510fb-1fe7-5af1-a85e-dbaffc7f9d24"	""	"minimization-and-redaction/01"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/minimization-and-redaction"	"9d626b1a-d3f8-57ee-919e-4a103f974c01"	""	"minimization-and-redaction/02"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/minimization-and-redaction"	"c679d589-afa1-59bd-9973-a20076c1fc8d"	""	"minimization-and-redaction/03"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/minimization-and-redaction"	"ee35327b-43ee-5dc2-9e6f-4632ce25636c"	""	"minimization-and-redaction/04"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/minimization-and-redaction"	"8a1824a2-c4a3-5648-9f9a-c449f82a71a5"	""	"minimization-and-redaction/05"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/minimization-and-redaction"	"2dfad7bd-3d8a-5dc0-babd-8fa4eeb1555a"	""	"minimization-and-redaction/06"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/minimization-and-redaction"	"0b514128-2b69-534e-bac9-e685aefc5683"	""	"minimization-and-redaction/07"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/minimization-and-redaction"	"9e254845-ed87-5fe5-97e8-b4454bb4382b"	""	"minimization-and-redaction/08"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/channel-and-format"	"6e6f2c1f-18e8-56ab-b7e9-af5f1ef15b6e"	""	"channel-and-format/01"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/channel-and-format"	"c11769a3-cb4c-589d-91fc-48a7fc5f4b28"	""	"channel-and-format/02"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/channel-and-format"	"d75604e1-1e25-5c2b-8316-3db4224965bf"	""	"channel-and-format/03"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/channel-and-format"	"c6dd9cd4-bbc5-55a6-922f-2b78f2f37c20"	""	"channel-and-format/04"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/channel-and-format"	"b40d9699-8a5f-552e-97db-1a9ae59a9c34"	""	"channel-and-format/05"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/channel-and-format"	"e0c0f0bb-e602-5597-8b7b-27e8b06ce7ff"	""	"channel-and-format/06"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/channel-and-format"	"69e95464-217e-5620-8ffc-c5d0f20afc46"	""	"channel-and-format/07"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/channel-and-format"	"f9492eaf-c1e8-5adc-9987-e58fcf527ed6"	""	"channel-and-format/08"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/downstream-use"	"e8c87c6c-1c32-534b-87be-32b5bb93584f"	""	"downstream-use/01"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/downstream-use"	"8cd6d58b-9325-584d-8c5c-396e1af03423"	""	"downstream-use/02"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/downstream-use"	"00564a98-72a6-57ce-9fc6-20a918e9e593"	""	"downstream-use/03"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/downstream-use"	"aeb15a51-9870-5e89-bcef-d5ad49792a02"	""	"downstream-use/04"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/downstream-use"	"c2f154f8-6340-57d6-bd12-efa5411592b1"	""	"downstream-use/05"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/downstream-use"	"62a622be-5e30-50f6-b1c0-f3b6454d0a64"	""	"downstream-use/06"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/downstream-use"	"975278ec-2ea5-5dec-b9bc-8054d880d0e3"	""	"downstream-use/07"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/downstream-use"	"9b320cc6-d3d3-5135-82dc-93b48c4bfb71"	""	"downstream-use/08"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/audit-and-recovery"	"c0ce508e-2777-54e3-806d-632adbdb9073"	""	"audit-and-recovery/01"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/audit-and-recovery"	"a0b32950-42b4-58a6-b1af-dd4638086d3d"	""	"audit-and-recovery/02"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/audit-and-recovery"	"620a1dee-b131-586f-a838-64d853c44a92"	""	"audit-and-recovery/03"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/audit-and-recovery"	"26256211-0509-5c26-a54c-e83b4bde5a4e"	""	"audit-and-recovery/04"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/audit-and-recovery"	"0d377136-da0b-570b-8deb-c662bee5bcbb"	""	"audit-and-recovery/05"	"[]"	"null"	""	""
"3"	"task-3"	"local/guardrails/audit-and-recovery"	"d26befa6-62a2-5923-a31b-71e73a31e164"	""	"audit-and-recovery/06"	"[]"	"null"	""	""
