source_id	source_memory_location	target_location	target_memory	operation	update_detail	before_text	after_text
T1-U-001	construction-updates/building-access/01	campus-wiki/building-access	T1-W-001	수정	3층 후문의 공사기간 일반 통행 상태를 이용 가능에서 이용 불가로 변경한다.	본관 3층 후문은 학기와 방학의 일반 개방시간 안에 일반 통행에 사용할 수 있다.	공사기간 본관 3층 후문은 일반 통행에 사용할 수 없다.
T1-U-003	construction-updates/building-access/03-hours	campus-wiki/building-access	T1-W-136	수정	정문의 방학 중 일반 개방 종료 시각을 공사기간에 오후 10시에서 오후 5시로 변경한다.	본관 정문의 방학 중 일반 개방 종료 시각은 오후 10시다.	공사기간 본관 정문의 방학 중 일반 개방 종료 시각은 오후 5시다.
T1-U-068	construction-updates/building-access/03-ramp	campus-wiki/building-access	T1-W-010	수정	정문 옆 기존 accessible ramp를 상시 이용 가능에서 공사기간 이용 불가로 변경한다.	정문 옆 accessible ramp는 계단을 쓰지 않고 1층 로비로 들어가는 상시 접근로다.	공사기간 기존 accessible ramp는 재시공 중이라 이용할 수 없다.
T1-U-069	construction-updates/building-access/03-temp-route	campus-wiki/building-access	새 Memory	추가	campus-wiki/building-access에 공사 업데이트를 독립된 Memory로 추가한다.	∅	정문 옆 임시 accessible route는 공사기간 내내 이용할 수 있다.
T1-U-004	construction-updates/building-access/04	campus-wiki/building-access	T1-W-007	수정	일반 개방시간 이후 학생 출입 인증을 실물 NFC 학생증으로 제한한다.	일반 개방시간 이후 출입 자격이 있는 학생에게 실물 NFC 학생증 또는 등록된 앱을 사용하도록 안내하라.	오후 5시 이후 출입 자격이 있는 학생에게 앱이 아닌 실물 NFC 학생증을 사용하도록 안내하라.
T1-U-006	construction-updates/building-access/06-staff-entrance	campus-wiki/building-access	T1-W-009	수정	교직원 전용 출입구를 공사기간의 지정 대체 출입구로 변경한다.	교직원 전용 출입구는 3층 후문과 별개의 통제 출입구다.	공사기간 교직원·공사·건물 관계자는 3층 후문 대신 지정 교직원 출입구만 이용하도록 안내하라.
T1-U-048	construction-updates/building-access/08-explain-access	campus-wiki/building-access	T1-W-006	수정	출입 안내 에이전트의 설명 능력을 공사기간 우선 적용 범위로 변경한다.	출입 안내 에이전트는 게시된 개방시간을 설명할 수 있다.	출입 안내 에이전트는 공사기간 출입 안내에서 정문 오후 5시 종료와 3층 후문 폐쇄를 우선 적용할 수 있다.
T1-U-049	construction-updates/building-access/09	campus-wiki/building-access	T1-W-005	수정	학생의 평상시 후문 통행 기대를 공사기간 폐쇄 지점에서의 재탐색 행동으로 변경한다.	중앙도서관으로 가는 데 익숙한 학생은 3층 후문이 평상시 통행 가능한 연결로라고 기대한다.	3층 후문을 통해 중앙도서관으로 가는 데 익숙한 학생은 공사기간에도 통과할 수 있으리라 기대해, 폐쇄된 후문까지 간 뒤 되돌아가거나 그 자리에서 대체 경로를 다시 찾을 가능성이 있다.
T1-U-050	construction-updates/building-access/10	campus-wiki/building-access	새 Memory	추가	campus-wiki/building-access에 공사 업데이트를 독립된 Memory로 추가한다.	∅	공사기간 일반 accessible route는 재시공 중인 기존 accessible ramp를 우회해 정문 옆 임시 통로에서 1층 로비로 이어진다.
T1-U-061	construction-updates/building-access/11-proactive-warning	campus-wiki/building-access	새 Memory	추가	campus-wiki/building-access에 공사 업데이트를 독립된 Memory로 추가한다.	∅	중앙도서관으로 가려고 하거나 평소 3층 후문을 이용하는 학생에게 공사기간에는 그 동선을 이용할 수 없다고 먼저 안내하라.
