"task"	"profile"	"context"	"memory_uid"	"fixture_id"	"locator"	"audiences"	"verified"	"impact_en"	"impact_ko"
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest"	"510d3b9c-d27c-591e-b5be-94d79382aa83"	""	"request-manifest/01"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest"	"d394e85a-b3c1-5b80-9bbe-b7f00fa64e4c"	""	"request-manifest/02"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest"	"23a83367-957e-5472-85c7-c20386eadfef"	""	"request-manifest/03"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest"	"37aa239e-b4c4-5b4f-a046-21685db51e9f"	""	"request-manifest/04"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest"	"06fb963a-3568-5938-986b-f99c62dab178"	""	"request-manifest/05"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest"	"551b5c50-3be2-5bea-a683-d1d9e6233c32"	""	"request-manifest/06"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest"	"72d8419e-9362-5032-96a9-407c4e1d14d2"	""	"request-manifest/07"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest"	"96750866-05a9-585b-ad0d-fae8a47cd039"	""	"request-manifest/08"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest"	"3b32cfa5-cdc4-5d9a-bf30-f605f4ad45ee"	""	"request-manifest/09"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest"	"d158e48b-2ee1-58c9-bf3a-10a659ce31ed"	""	"request-manifest/10"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest"	"78aa7948-af23-50a9-9e43-46b0594561d7"	""	"request-manifest/11"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest"	"a114c496-932d-50a2-ae81-42f357b2e158"	""	"request-manifest/12"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/care-access"	"4e8ab693-be1c-5c3e-a3d2-61815c6648fb"	""	"care-access/01"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/care-access"	"b0075fee-448b-57be-956c-a1a267830ac7"	""	"care-access/02"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/care-access"	"16a287ec-8ff8-516b-aa84-ebff6ae2ffb9"	""	"care-access/03"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/care-access"	"b7bf6584-dad7-543c-89cb-2297ac343940"	""	"care-access/04"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/care-access"	"9904890f-5408-5c83-ac7d-c3649e67f167"	""	"care-access/05"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/care-access"	"2f5d2e0d-7702-5f7c-b278-866e0074bcb4"	""	"care-access/06"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/care-access"	"31f7ac3a-3dbb-526f-b909-5d636cd9206a"	""	"care-access/07"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/care-access"	"dd6508e9-5f65-5f68-888d-95fae0b17bde"	""	"care-access/08"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/care-access"	"0e6c46ed-f2e3-50c7-a1e8-3af0c2732d11"	""	"care-access/09"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/care-access"	"9d480afc-204a-5da8-871d-1259195a621d"	""	"care-access/10"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/care-access"	"2a58d857-6fda-5f6d-8691-56ecda4f815c"	""	"care-access/11"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/care-access"	"2d808d52-e633-5961-9bd2-87b26e833e98"	""	"care-access/12"	"[]"	"null"	""	""
"3"	"task-3-healthcare-authority"	"remote/government/healthcare-agent/info-request/questions-and-answers/care-access"	"8ad85525-7e73-57b8-bf0e-6cb4c73be024"	""	"care-access/13"	"[]"	"null"	""	""
