source_id	source_memory_location	target_location	target_memory	operation	update_detail	before_text	after_text
T1-U-001	construction-updates/building-access/01	campus-wiki/building-access	T1-W-001	Modify	Change the third-floor rear entrance from available to unavailable for general passage during the construction period.	The Main Building third-floor rear entrance may be used for general passage during regular opening hours in both the academic term and recess.	During the construction period, the third-floor rear entrance of the Main Building cannot be used for general passage.
T1-U-003	construction-updates/building-access/03-hours	campus-wiki/building-access	T1-W-136	Modify	Change the main entrance's recess general-access closing time from 10:00 p.m. to 5:00 p.m. during the construction period.	The end of regular opening hours for the Main Building main entrance during recess is 10 p.m.	During the construction period, the end time for general access through the Main Building's main entrance during recess is 5:00 p.m.
T1-U-068	construction-updates/building-access/03-ramp	campus-wiki/building-access	T1-W-010	Modify	Change the existing accessible route next to the main entrance from always available to unavailable during the construction period.	The accessible route beside the main entrance is an always-available route into the first-floor lobby without using stairs.	During the construction period, the existing accessible route cannot be used because it is being reconstructed.
T1-U-069	construction-updates/building-access/03-temp-route	campus-wiki/building-access	New Memory	Add	Add the construction update to campus-wiki/building-access as an independent Memory.	∅	The temporary accessible route next to the main entrance can be used throughout the construction period.
T1-U-004	construction-updates/building-access/04	campus-wiki/building-access	T1-W-007	Modify	Restrict student access authentication after general access hours to a physical NFC student ID card.	Instruct students eligible for access after regular opening hours to use a physical NFC student ID card or the registered app.	Instruct students authorized to enter after 5:00 p.m. to use a physical NFC student ID card rather than the app.
T1-U-006	construction-updates/building-access/06-staff-entrance	campus-wiki/building-access	T1-W-009	Modify	Change the staff-only entrance to the designated alternative entrance during the construction period.	The staff-only entrance is a controlled entrance separate from the third-floor rear entrance.	During the construction period, instruct staff and construction/facilities personnel to use only the designated staff entrance instead of the third-floor rear entrance.
T1-U-048	construction-updates/building-access/08-explain-access	campus-wiki/building-access	T1-W-006	Modify	Change the access guidance agent's explanatory capability to prioritize construction-period conditions.	The access information agent can explain the posted opening hours.	In access guidance during the construction period, the access guidance agent may prioritize the 5:00 p.m. closing of the main entrance and the closure of the third-floor rear entrance.
T1-U-049	construction-updates/building-access/09	campus-wiki/building-access	T1-W-005	Modify	Change students' normal expectation of passage through the rear entrance to renewed route-search behavior at the closure point during the construction period.	Students familiar with the route to the Central Library expect the third-floor rear entrance to be a connection normally available for passage.	A student accustomed to reaching the Central Library through the third-floor rear entrance may expect to be able to pass through during the construction period, go as far as the closed rear entrance, and then turn back or search again for an alternative route there.
T1-U-050	construction-updates/building-access/10	campus-wiki/building-access	New Memory	Add	Add the construction update to campus-wiki/building-access as an independent Memory.	∅	During the construction period, the general accessible route bypasses the existing accessible route under reconstruction and leads from the temporary passage next to the main entrance to the first-floor lobby.
T1-U-061	construction-updates/building-access/11-proactive-warning	campus-wiki/building-access	New Memory	Add	Add the construction update to campus-wiki/building-access as an independent Memory.	∅	Proactively inform students who are trying to reach the Central Library or who normally use the third-floor rear entrance that they cannot use that route during the construction period.
T1-U-062	construction-updates/building-access/om-tour-leader-route-expectation	campus-wiki/building-access	T1-W-130	Modify	Change external group tour leaders' preference for a previous visit route to an expectation of using the same rear entrance during the construction period and the possibility of approaching the wrong entrance.	Tour leaders for external groups tend to want to use the same route through the third-floor rear entrance on their next visit that they used on a previous visit.	A leader of an external group tour may expect the route used on a previous visit to remain valid during the construction period and lead the visiting group to the closed third-floor rear entrance.
T1-U-008	construction-updates/event-relocations/01-viewing	campus-wiki/event-relocations	T1-W-012	Modify	Change viewing in the tenth-floor exhibition and event hall from operating to suspended during the construction period.	The exhibition and event hall on the tenth floor of the Main Building remains open for exhibition viewing during recess.	Viewing in the tenth-floor exhibition and event hall is suspended during the construction period.
T1-U-009	construction-updates/event-relocations/02-reservations	campus-wiki/event-relocations	T1-W-011	Modify	Stop accepting new external-event reservations for the first-floor meeting space in the Main Building.	The meeting space on the first floor of the Main Building can be reserved for external events.	During the construction period, do not accept new reservations for external events in the first-floor meeting space of the Main Building.
T1-U-009	construction-updates/event-relocations/02-reservations	campus-wiki/event-relocations	T1-W-138	Modify	Stop accepting new campus-meeting reservations for the first-floor meeting space in the Main Building.	The meeting space on the first floor of the Main Building can be reserved for campus meetings.	During the construction period, do not accept new reservations for campus meetings in the first-floor meeting space of the Main Building.
T1-U-009	construction-updates/event-relocations/02-reservations	campus-wiki/event-relocations	T1-W-104	Modify	Stop accepting new reservations for the tenth-floor exhibition and event hall in the Main Building.	The exhibition and event hall on the tenth floor of the Main Building continues to host reserved events during recess.	During the construction period, do not accept new reservations for the tenth-floor exhibition and event hall in the Main Building.
T1-U-076	construction-updates/event-relocations/02-east-auditorium	campus-wiki/event-relocations	New Memory	Add	Add the construction update to campus-wiki/event-relocations as an independent Memory.	∅	During the construction period, direct users to the auditorium in the detached east building as an alternative to Main Building event venues.
T1-U-077	construction-updates/event-relocations/02-engineering-room	campus-wiki/event-relocations	New Memory	Add	Add the construction update to campus-wiki/event-relocations as an independent Memory.	∅	During the construction period, direct users to the third-floor multipurpose room in the Engineering Building as an alternative to Main Building event venues.
T1-U-010	construction-updates/event-relocations/03	campus-wiki/event-relocations	New Memory	Add	Add to campus-wiki/event-relocations the new alternative-space role created by relocating events from the Main Building.	∅	During the construction period, the auditorium in the detached east building is converted into an alternative event space for Main Building events.
T1-U-051	construction-updates/event-relocations/04-compare-venues	campus-wiki/event-relocations	T1-W-016	Modify	Exclude closed Main Building event venues from the event guidance agent's comparison capability.	The event information agent can compare published event spaces.	During the construction period, the event guidance agent may exclude closed Main Building event venues from comparison candidates and compare only designated alternative spaces.
T1-U-078	construction-updates/event-relocations/04-no-booking	campus-wiki/event-relocations	T1-W-107	Modify	Clarify the reservation-creation limitation together with the ability to provide reservation contacts for alternative spaces during the construction period.	The event information agent cannot create reservations.	During the construction period, the event guidance agent cannot create or restore reservations for Main Building event venues and may provide only the reservation channel for each alternative space.
T1-U-052	construction-updates/event-relocations/05-location-questions	campus-wiki/event-relocations	T1-W-015	Modify	Change returning visitors' preference for familiar entrances and floors to an expectation that the same locations will remain during the construction period and the possibility of missing alternative-venue guidance.	External visitors who have previously been to an event venue in the Main Building tend to look for the same entrance and floor they used on their previous visit when they visit again.	An external visitor who has previously visited a Main Building event venue may expect the entrance and floor from the previous visit to remain unchanged and miss guidance about the alternative venue during the construction period.
T1-U-053	construction-updates/event-relocations/06	campus-wiki/event-relocations	New Memory	Add	Add to campus-wiki/event-relocations the new delivery point for event equipment relocated from the Main Building.	∅	During the construction period, the separate loading entrance of the auditorium in the detached east building is converted into the loading point for event equipment relocated from the Main Building.
T1-U-063	construction-updates/event-relocations/om-event-operators	campus-wiki/event-relocations	T1-W-131	Modify	Change external event operators' expectation of confirmed information to an assumption that existing Main Building procedures remain valid and the possibility of choosing the wrong delivery entrance.	External event operators expect the loading entrance and route to the stage to be clearly confirmed by the day before the event.	An external event operator may assume that the existing Main Building loading procedure remains valid during the construction period, send equipment to the existing loading entrance, or check the access rules for the alternative venue too late.
T1-U-011	construction-updates/temporary-parking/01	campus-wiki/temporary-parking	T1-W-019	Modify	Change the underground parking garage from available to unavailable for general parking during the construction period.	General vehicles may enter and park in the Main Building underground parking garage during operating hours.	During the construction period, the underground parking garage of the Main Building cannot be used for general parking.
T1-U-012	construction-updates/temporary-parking/02-locked-door	campus-wiki/temporary-parking	T1-W-020	Modify	Change the underground parking garage pedestrian entrance from generally open to locked during the construction period.	The pedestrian entrance to the underground parking garage is open to general pedestrians during operating hours.	During the construction period, the pedestrian entrance door to the underground parking garage is kept locked.
T1-U-013	construction-updates/temporary-parking/03	campus-wiki/temporary-parking	New Memory	Add	Add the construction update to campus-wiki/temporary-parking as an independent Memory.	∅	During the construction period, instruct staff to use a physical access card to pass through the locked pedestrian entrance door to the underground parking garage.
T1-U-014	construction-updates/temporary-parking/04	campus-wiki/temporary-parking	New Memory	Add	Add the construction update to campus-wiki/temporary-parking as an independent Memory.	∅	Instruct construction/facilities personnel to access the underground parking garage through the controlled on-site access procedure that has been approved.
T1-U-015	construction-updates/temporary-parking/05	campus-wiki/temporary-parking	T1-W-021	Modify	Close the interior stairs connecting the Main Building lobby and underground parking garage to all users.	The interior stairs leading down from the Main Building lobby to the underground parking garage are available during operating hours.	The stairs from the Main Building down to the underground parking garage are closed to all users.
T1-U-016	construction-updates/temporary-parking/06	campus-wiki/temporary-parking	New Memory	Add	Add the construction update to campus-wiki/temporary-parking as an independent Memory.	∅	The underground parking garage is used as a temporary storage area for construction materials.
T1-U-082	construction-updates/temporary-parking/07-lost-property	campus-wiki/temporary-parking	New Memory	Add	Add the construction update to campus-wiki/temporary-parking as an independent Memory.	∅	After the clear-out, personal items left in the underground parking garage were moved to the lost and found center.
T1-U-018	construction-updates/temporary-parking/08-a-lot-closed	campus-wiki/temporary-parking	New Memory	Add	Add the construction update to campus-wiki/temporary-parking as an independent Memory.	∅	Outdoor Parking Lot A connected to the Main Building is closed during the construction period.
